State,State Code,Year,Year Code,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate
Alabama,01,2000,2000,Other opioids,T40.2,17,4447100,Unreliable
Alabama,01,2001,2001,Other opioids,T40.2,11,4467634,Unreliable
Alabama,01,2001,2001,Methadone,T40.3,13,4467634,Unreliable
Alabama,01,2002,2002,Other opioids,T40.2,18,4480089,Unreliable
Alabama,01,2002,2002,Methadone,T40.3,14,4480089,Unreliable
Alabama,01,2003,2003,Other opioids,T40.2,13,4503491,Unreliable
Alabama,01,2003,2003,Methadone,T40.3,10,4503491,Unreliable
Alabama,01,2004,2004,Other opioids,T40.2,22,4530729,0.5
Alabama,01,2004,2004,Methadone,T40.3,30,4530729,0.7
Alabama,01,2004,2004,Other synthetic narcotics,T40.4,11,4530729,Unreliable
Alabama,01,2005,2005,Other opioids,T40.2,17,4569805,Unreliable
Alabama,01,2005,2005,Methadone,T40.3,27,4569805,0.6
Alabama,01,2006,2006,Other opioids,T40.2,27,4628981,0.6
Alabama,01,2006,2006,Methadone,T40.3,28,4628981,0.6
Alabama,01,2006,2006,Other synthetic narcotics,T40.4,12,4628981,Unreliable
Alabama,01,2007,2007,Other opioids,T40.2,32,4672840,0.7
Alabama,01,2007,2007,Methadone,T40.3,30,4672840,0.6
Alabama,01,2008,2008,Other opioids,T40.2,34,4718206,0.7
Alabama,01,2008,2008,Methadone,T40.3,34,4718206,0.7
Alabama,01,2009,2009,Other opioids,T40.2,34,4757938,0.7
Alabama,01,2009,2009,Methadone,T40.3,28,4757938,0.6
Alabama,01,2010,2010,Other opioids,T40.2,49,4779736,1
Alabama,01,2010,2010,Methadone,T40.3,38,4779736,0.8
Alabama,01,2010,2010,Other synthetic narcotics,T40.4,11,4779736,Unreliable
Alabama,01,2011,2011,Other opioids,T40.2,43,4802740,0.9
Alabama,01,2011,2011,Methadone,T40.3,29,4802740,0.6
Alabama,01,2012,2012,Other opioids,T40.2,28,4822023,0.6
Alabama,01,2012,2012,Methadone,T40.3,18,4822023,Unreliable
Alabama,01,2013,2013,Heroin,T40.1,10,4833722,Unreliable
Alabama,01,2013,2013,Other opioids,T40.2,28,4833722,0.6
Alabama,01,2013,2013,Methadone,T40.3,10,4833722,Unreliable
Alabama,01,2014,2014,Heroin,T40.1,30,4849377,0.6
Alabama,01,2014,2014,Other opioids,T40.2,41,4849377,0.8
Alabama,01,2014,2014,Methadone,T40.3,15,4849377,Unreliable
Alabama,01,2014,2014,Other synthetic narcotics,T40.4,14,4849377,Unreliable
Alabama,01,2015,2015,Heroin,T40.1,22,4858979,0.5
Alabama,01,2015,2015,Other opioids,T40.2,35,4858979,0.7
